,acaoDetalheId,uoCodigo,programaCod,acaoCod,microRegiao,deMicroRegiao,noQuadrimestre,ateQuadrimestre,noQuadrimestreFisRpnp,ateQuadrimestreFisRpnp,quantidadePpa,anoMonitoramento,quadrimestreMonitoramento,TipoDado,Ano,Quadrimestre
247,4764,11020,2148,2536,1,Região I,0,0,0,0,250,2024,1,Ação Físico,2024,1
248,4765,17032,1015,2091,1,Região I,174,174,0,0,187,2024,1,Ação Físico,2024,1
249,4765,17032,1015,2091,2,Região II,25,25,0,0,39,2024,1,Ação Físico,2024,1
250,4765,17032,1015,2091,3,Região III,9,9,0,0,10,2024,1,Ação Físico,2024,1
251,4765,17032,1015,2091,4,Região IV,3,3,0,0,8,2024,1,Ação Físico,2024,1
252,4765,17032,1015,2091,5,Região V,44,44,0,0,59,2024,1,Ação Físico,2024,1
253,4765,17032,1015,2091,6,Região VI,32,32,0,0,59,2024,1,Ação Físico,2024,1
254,4765,17032,1015,2091,7,Região VII,54,54,0,0,62,2024,1,Ação Físico,2024,1
255,4765,17032,1015,2091,8,Região VIII,23,23,0,0,40,2024,1,Ação Físico,2024,1
256,4765,17032,1015,2091,9,Região IX,3,3,0,0,4,2024,1,Ação Físico,2024,1
257,4765,17032,1015,2091,10,Região X,17,17,0,0,24,2024,1,Ação Físico,2024,1
258,4766,14023,1015,2091,1,Região I,203,203,0,0,218,2024,1,Ação Físico,2024,1
259,4766,14023,1015,2091,2,Região II,2,2,0,0,2,2024,1,Ação Físico,2024,1
260,4766,14023,1015,2091,4,Região IV,0,0,0,0,0,2024,1,Ação Físico,2024,1
261,4766,14023,1015,2091,5,Região V,3,3,0,0,8,2024,1,Ação Físico,2024,1
262,4766,14023,1015,2091,6,Região VI,5,5,0,0,5,2024,1,Ação Físico,2024,1
263,4766,14023,1015,2091,7,Região VII,3,3,0,0,2,2024,1,Ação Físico,2024,1
264,4766,14023,1015,2091,8,Região VIII,4,4,0,0,4,2024,1,Ação Físico,2024,1
265,4766,14023,1015,2091,10,Região X,2,2,0,0,2,2024,1,Ação Físico,2024,1
266,4768,14023,1015,2234,1,Região I,203,203,0,0,218,2024,1,Ação Físico,2024,1
267,4768,14023,1015,2234,2,Região II,2,2,0,0,2,2024,1,Ação Físico,2024,1
268,4768,14023,1015,2234,4,Região IV,0,0,0,0,0,2024,1,Ação Físico,2024,1
269,4768,14023,1015,2234,5,Região V,3,3,0,0,8,2024,1,Ação Físico,2024,1
270,4768,14023,1015,2234,6,Região VI,5,5,0,0,5,2024,1,Ação Físico,2024,1
271,4768,14023,1015,2234,7,Região VII,3,3,0,0,2,2024,1,Ação Físico,2024,1
272,4768,14023,1015,2234,8,Região VIII,4,4,0,0,4,2024,1,Ação Físico,2024,1
273,4768,14023,1015,2234,10,Região X,2,2,0,0,2,2024,1,Ação Físico,2024,1
274,4769,11007,1015,2091,1,Região I,180,180,0,0,180,2024,1,Ação Físico,2024,1
275,4770,11020,1015,2087,1,Região I,1,0,0,0,1,2024,1,Ação Físico,2024,1
